class,time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
4,2017-06-17T13:24:14.40Z,54.7829529,37.6452275,233.232,6.18,1.95,0.00,2.318,4.104,0.41,17.69499,5.06163,3,9
4,2017-06-17T13:24:14.60Z,54.7829642,37.6452340,233.247,6.71,2.18,0.24,2.312,4.101,0.45,17.88012,4.79991,3,9
4,2017-06-17T13:24:14.80Z,54.7829766,37.6452413,233.304,7.18,2.37,-0.07,2.307,4.099,0.49,18.08467,4.44363,3,9
4,2017-06-17T13:24:15.00Z,54.7829896,37.6452490,233.345,7.46,2.54,0.08,2.301,4.093,0.43,18.47557,4.19499,3,9
4,2017-06-17T13:24:15.20Z,54.7830035,37.6452570,233.377,8.11,2.52,-0.07,2.293,4.068,0.38,17.27817,3.70290,3,9
4,2017-06-17T13:24:15.40Z,54.7830184,37.6452654,233.369,8.48,2.80,0.04,2.286,4.063,0.41,18.29702,3.68948,3,9
4,2017-06-17T13:24:15.60Z,54.7830337,37.6452750,233.387,8.86,3.05,0.16,2.281,4.058,0.44,19.02303,3.57617,3,9
4,2017-06-17T13:24:15.80Z,54.7830503,37.6452847,233.327,9.44,3.04,-0.01,2.273,4.037,0.40,17.85371,3.17915,3,9
4,2017-06-17T13:24:16.00Z,54.7830676,37.6452946,233.375,9.87,3.15,-0.07,2.265,4.017,0.39,17.70903,3.02909,3,9
4,2017-06-17T13:24:16.20Z,54.7830857,37.6453051,233.336,10.33,3.53,-0.08,2.255,4.004,0.41,18.87193,2.79714,3,9
4,2017-06-17T13:24:16.40Z,54.7831047,37.6453161,233.398,10.90,3.57,-0.16,2.247,3.992,0.41,18.15067,2.70950,3,9
4,2017-06-17T13:24:16.60Z,54.7831243,37.6453267,233.650,11.31,3.56,-0.05,2.233,3.938,0.32,17.46292,2.38724,3,9
4,2017-06-17T13:24:16.80Z,54.7831449,37.6453380,233.787,11.75,3.71,-0.19,2.214,3.894,0.30,17.51049,2.30055,3,9
4,2017-06-17T13:24:17.00Z,54.7831660,37.6453487,233.814,12.32,3.84,-0.24,2.198,3.851,0.31,17.31461,2.17331,3,9
4,2017-06-17T13:24:17.20Z,54.7831881,37.6453606,233.894,12.50,4.15,-0.18,2.183,3.806,0.32,18.36542,2.13096,3,9
4,2017-06-17T13:24:17.40Z,54.7832109,37.6453729,233.931,12.97,4.16,-0.12,2.167,3.784,0.26,17.78738,2.09638,3,9
