class,time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
2,2017-07-06T12:05:26.20Z,61.8848903,6.8325644,994.764,-4.47,0.01,2.65,1.037,1.366,0.55,180.93047,3.56790,3,8
2,2017-07-06T12:05:26.40Z,61.8848826,6.8325640,994.068,-3.67,-0.01,4.54,1.043,1.372,0.48,180.62625,4.33890,3,8
2,2017-07-06T12:05:26.60Z,61.8848754,6.8325632,992.989,-3.72,-0.13,6.16,1.044,1.377,0.42,181.40002,3.82370,3,8
2,2017-07-06T12:05:26.80Z,61.8848685,6.8325622,991.700,-3.61,-0.05,7.69,1.043,1.380,0.40,180.71982,4.72288,3,8
2,2017-07-06T12:05:27.00Z,61.8848600,6.8325606,989.980,-3.76,-0.17,9.50,1.040,1.385,0.37,182.58128,4.57272,3,8
2,2017-07-06T12:05:27.20Z,61.8848518,6.8325596,987.832,-3.79,0.11,11.09,1.033,1.395,0.35,178.32225,4.17110,3,8
2,2017-07-06T12:05:27.40Z,61.8848444,6.8325596,985.313,-3.89,0.15,12.84,1.024,1.403,0.36,177.85478,3.91856,3,8
2,2017-07-06T12:05:27.60Z,61.8848367,6.8325602,982.487,-4.23,0.20,14.72,1.014,1.413,0.35,177.31746,2.90391,3,8
2,2017-07-06T12:05:27.80Z,61.8848283,6.8325607,979.261,-4.35,0.11,16.27,1.005,1.426,0.37,178.59246,3.49335,3,8
2,2017-07-06T12:05:28.00Z,61.8848202,6.8325611,975.720,-4.76,0.18,18.17,0.997,1.441,0.37,177.89225,3.13151,3,8
2,2017-07-06T12:05:28.20Z,61.8848110,6.8325617,971.807,-5.15,0.11,19.75,0.991,1.455,0.37,178.72959,2.76845,3,8
2,2017-07-06T12:05:28.40Z,61.8848004,6.8325617,967.564,-5.62,0.07,21.23,0.984,1.468,0.37,179.28374,2.42296,3,8
2,2017-07-06T12:05:28.60Z,61.8847891,6.8325619,963.034,-6.35,-0.06,22.73,0.981,1.480,0.38,180.51123,2.27074,3,8
2,2017-07-06T12:05:28.80Z,61.8847770,6.8325618,958.210,-7.13,-0.07,24.10,0.979,1.492,0.38,180.59651,2.11513,3,8
2,2017-07-06T12:05:29.00Z,61.8847627,6.8325613,953.082,-8.06,-0.09,25.48,0.978,1.506,0.37,180.66414,1.82303,3,8
2,2017-07-06T12:05:29.20Z,61.8847471,6.8325606,947.781,-9.00,-0.26,26.61,0.978,1.518,0.35,181.65199,1.56284,3,8
2,2017-07-06T12:05:29.40Z,61.8847296,6.8325594,942.194,-9.97,-0.29,27.89,0.979,1.532,0.35,181.65355,1.41366,3,7
2,2017-07-06T12:05:29.60Z,61.8847105,6.8325583,936.401,-11.12,-0.31,28.52,0.982,1.547,0.35,181.59763,1.33172,3,7
2,2017-07-06T12:05:29.80Z,61.8846892,6.8325574,930.450,-12.43,-0.24,29.87,0.985,1.564,0.35,181.12841,1.22568,3,7
2,2017-07-06T12:05:30.00Z,61.8846657,6.8325568,924.289,-13.78,-0.23,30.79,0.989,1.581,0.34,180.95774,1.13949,3,6
