class,time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
2,2017-01-21T09:49:07.60Z,24.8933441,55.5376472,4104.123,24.03,-16.27,7.75,4.305,6.691,0.67,325.90889,1.25624,3,8
2,2017-01-21T09:49:07.80Z,24.8933815,55.5376147,4102.240,21.78,-16.17,7.83,4.134,6.567,0.38,323.39725,0.97938,3,8
2,2017-01-21T09:49:08.00Z,24.8934196,55.5375841,4100.185,21.07,-15.42,7.99,4.026,6.364,0.40,323.79467,1.02433,3,8
2,2017-01-21T09:49:08.20Z,24.8934553,55.5375542,4098.900,20.18,-14.83,7.99,3.947,6.152,0.42,323.68048,1.07916,3,8
2,2017-01-21T09:49:08.40Z,24.8934902,55.5375248,4097.012,19.28,-14.61,8.29,3.890,5.984,0.42,322.84283,1.15344,3,8
2,2017-01-21T09:49:08.60Z,24.8935235,55.5374970,4095.154,18.54,-14.36,8.62,3.821,5.832,0.40,322.24603,1.15629,3,8
2,2017-01-21T09:49:08.80Z,24.8935553,55.5374714,4093.015,17.74,-14.16,9.05,3.749,5.631,0.34,321.40399,0.85241,3,8
2,2017-01-21T09:49:09.00Z,24.8935867,55.5374448,4090.905,17.40,-13.84,9.35,3.697,5.553,0.37,321.50807,0.87263,3,8
2,2017-01-21T09:49:09.20Z,24.8936179,55.5374186,4088.790,17.34,-13.33,9.52,3.674,5.485,0.41,322.45298,0.85909,3,8
2,2017-01-21T09:49:09.40Z,24.8936483,55.5373936,4086.772,16.84,-12.63,9.65,3.648,5.441,0.40,323.13728,0.88757,3,9
2,2017-01-21T09:49:09.60Z,24.8936787,55.5373699,4084.872,17.09,-11.86,9.68,3.622,5.417,0.41,325.24533,0.90161,3,9
2,2017-01-21T09:49:09.80Z,24.8937090,55.5373480,4083.036,17.14,-11.00,9.63,3.597,5.393,0.42,327.31449,0.92806,3,9
2,2017-01-21T09:49:10.00Z,24.8937394,55.5373277,4081.120,17.12,-10.30,9.66,3.572,5.370,0.43,328.97418,0.95179,3,9
