class,time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
1,2015-11-03T06:30:17.50Z,45.9954889,10.9053141,1456.980,0.01,0.04,-0.11,25.440,32.838,3.22,3,6
1,2015-11-03T06:30:18.20Z,45.9955469,10.9052734,1450.788,0.07,-0.06,-0.05,15.782,23.383,1.10,3,6
1,2015-11-03T06:30:18.60Z,45.9955359,10.9053129,1450.282,-0.02,0.00,0.08,10.588,14.650,1.11,3,7
1,2015-11-03T06:30:18.80Z,45.9955407,10.9053104,1447.914,0.06,-0.03,0.33,9.541,12.076,1.21,3,6
1,2015-11-03T06:30:19.00Z,45.9955387,10.9053151,1447.213,0.16,0.19,0.36,8.830,10.715,0.91,3,8
1,2015-11-03T06:30:19.20Z,45.9955510,10.9052955,1444.033,0.01,-0.05,0.28,7.746,9.351,1.12,3,8
1,2015-11-03T06:30:19.40Z,45.9955601,10.9052657,1441.598,0.06,-0.14,0.26,6.898,8.376,1.15,3,8
1,2015-11-03T06:30:19.60Z,45.9955659,10.9052598,1441.442,0.07,-0.13,0.27,6.433,7.877,1.14,3,8
1,2015-11-03T06:30:19.80Z,45.9955750,10.9052463,1440.626,0.13,-0.27,0.26,6.022,7.416,1.17,3,8
1,2015-11-03T06:30:20.00Z,45.9955762,10.9052416,1440.374,0.42,-0.44,0.24,5.824,7.133,1.15,3,8
1,2015-11-03T06:30:20.20Z,45.9955770,10.9052294,1439.202,0.57,-0.49,0.26,5.535,6.743,1.15,3,8
1,2015-11-03T06:30:20.40Z,45.9955805,10.9052208,1438.618,0.37,-0.30,0.30,5.189,6.412,1.09,3,8
1,2015-11-03T06:30:20.60Z,45.9955809,10.9052178,1438.305,0.18,-0.23,0.29,4.918,6.130,1.08,3,8
1,2015-11-03T06:30:20.80Z,45.9955793,10.9052200,1438.383,0.01,-0.17,0.24,4.674,5.814,1.03,3,8
1,2015-11-03T06:30:21.00Z,45.9955751,10.9052176,1438.837,0.00,-0.18,0.21,4.517,5.604,1.06,3,8
1,2015-11-03T06:30:21.20Z,45.9955701,10.9052135,1439.371,-0.04,-0.15,0.19,4.352,5.382,1.03,3,8
1,2015-11-03T06:30:21.40Z,45.9955691,10.9052086,1439.637,0.06,-0.15,0.18,4.168,5.177,1.03,3,8
1,2015-11-03T06:30:21.60Z,45.9955670,10.9052036,1439.951,0.04,-0.24,0.17,4.044,5.044,1.06,3,8
1,2015-11-03T06:30:21.80Z,45.9955662,10.9051980,1439.695,0.03,-0.30,0.16,3.921,4.914,1.05,3,8
1,2015-11-03T06:30:22.00Z,45.9955668,10.9051931,1439.392,0.25,-0.20,0.13,3.826,4.816,1.08,3,8
1,2015-11-03T06:30:22.20Z,45.9955678,10.9051893,1439.077,0.41,-0.01,0.18,3.759,4.742,0.98,3,8
1,2015-11-03T06:30:22.40Z,45.9955680,10.9051886,1439.004,0.26,0.06,0.18,3.735,4.688,0.92,3,8
1,2015-11-03T06:30:22.60Z,45.9955689,10.9051873,1438.874,0.42,0.07,0.21,3.696,4.653,0.92,3,8
1,2015-11-03T06:30:22.80Z,45.9955693,10.9051861,1438.792,0.38,-0.01,0.20,3.679,4.639,1.01,3,8
1,2015-11-03T06:30:23.00Z,45.9955688,10.9051835,1438.583,0.18,-0.05,0.23,3.671,4.635,1.05,3,8
1,2015-11-03T06:30:23.20Z,45.9955684,10.9051801,1438.295,0.13,-0.04,0.27,3.673,4.634,1.01,3,8
1,2015-11-03T06:30:23.40Z,45.9955676,10.9051776,1438.154,0.10,-0.09,0.29,3.646,4.610,1.02,3,8
1,2015-11-03T06:30:24.00Z,45.9955663,10.9051710,1437.875,0.27,-0.24,0.32,3.676,4.666,1.16,3,8
1,2015-11-03T06:30:24.20Z,45.9955650,10.9051707,1438.064,0.16,-0.20,0.26,3.660,4.667,1.13,3,8
1,2015-11-03T06:30:24.40Z,45.9955648,10.9051684,1438.046,0.24,-0.13,0.30,3.643,4.663,1.09,3,8
1,2015-11-03T06:30:24.60Z,45.9955642,10.9051658,1438.096,0.12,-0.30,0.29,3.624,4.663,1.12,3,8
1,2015-11-03T06:30:24.80Z,45.9955607,10.9051658,1438.785,-0.26,-0.34,0.14,3.526,4.529,0.78,3,8
1,2015-11-03T06:30:25.00Z,45.9955592,10.9051677,1439.484,-0.19,-0.23,0.02,3.472,4.438,0.78,3,8
