class,time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
1,2015-09-20T14:38:18.80Z,41.8927713,-89.0728636,238.597,0.38,0.15,0.23,152.478,152.976,9.87,0.00000,180.00000,3,4
1,2015-09-20T14:38:19.00Z,41.8927523,-89.0728707,243.785,0.60,0.35,0.62,117.721,112.702,7.46,0.00000,180.00000,3,4
1,2015-09-20T14:38:19.80Z,41.8927717,-89.0729031,243.140,0.03,0.15,-0.13,23.687,24.545,0.97,0.00000,180.00000,3,7
1,2015-09-20T14:38:20.00Z,41.8927786,-89.0729106,243.299,0.47,-0.02,-0.15,20.821,21.863,1.27,0.00000,100.10174,3,7
1,2015-09-20T14:38:20.20Z,41.8927926,-89.0729140,242.034,1.01,-0.30,0.13,18.649,19.983,1.32,345.61536,38.78226,3,8
1,2015-09-20T14:38:20.40Z,41.8928021,-89.0729125,241.036,0.55,0.08,0.11,17.294,18.773,1.46,345.61536,38.78564,3,8
1,2015-09-20T14:38:20.60Z,41.8928121,-89.0729101,240.298,-0.11,0.21,-0.16,16.252,17.801,1.40,345.61536,38.78889,3,8
1,2015-09-20T14:38:20.80Z,41.8928138,-89.0729073,239.980,-0.84,0.30,-0.28,15.407,16.964,1.63,345.61536,38.79267,3,9
1,2015-09-20T14:38:21.00Z,41.8928220,-89.0729057,239.449,-0.82,0.45,0.08,14.550,16.236,1.64,345.61536,38.79648,3,11
1,2015-09-20T14:38:21.20Z,41.8928296,-89.0729051,239.118,-0.56,0.28,-0.02,13.814,15.546,1.56,345.61536,38.80010,3,11
1,2015-09-20T14:38:21.40Z,41.8928343,-89.0729072,238.971,-0.16,0.21,-0.10,13.195,14.951,1.48,345.61536,38.80353,3,11
1,2015-09-20T14:38:21.60Z,41.8928358,-89.0729081,238.803,0.02,-0.14,-0.06,12.569,14.395,1.05,345.61536,38.80596,3,11
1,2015-09-20T14:38:21.80Z,41.8928369,-89.0729099,238.799,0.16,-0.34,0.09,12.008,13.907,1.28,345.61536,38.80893,3,11
1,2015-09-20T14:38:22.00Z,41.8928368,-89.0729115,239.139,0.18,-0.33,-0.10,11.547,13.482,1.15,345.61536,38.81160,3,11
1,2015-09-20T14:38:22.20Z,41.8928375,-89.0729138,239.329,0.17,-0.91,-0.03,11.154,13.112,1.08,345.61536,38.81411,3,11
1,2015-09-20T14:38:22.40Z,41.8928377,-89.0729154,239.135,0.22,-0.52,0.08,10.807,12.774,1.22,345.61536,38.81695,3,11
1,2015-09-20T14:38:22.60Z,41.8928376,-89.0729152,239.052,0.13,-0.31,0.07,10.504,12.465,1.23,345.61536,38.81981,3,11
1,2015-09-20T14:38:22.80Z,41.8928360,-89.0729124,238.736,0.03,0.04,0.40,10.238,12.178,0.99,345.61536,38.82211,3,11
1,2015-09-20T14:38:23.00Z,41.8928340,-89.0729108,238.566,-0.32,-0.28,0.77,10.017,11.918,1.02,345.61536,38.82447,3,11
1,2015-09-20T14:38:23.20Z,41.8928321,-89.0729091,238.500,-0.44,-0.12,0.37,9.815,11.671,1.03,345.61536,38.82687,3,11
1,2015-09-20T14:38:23.40Z,41.8928312,-89.0729078,238.506,-0.11,-0.09,0.30,9.630,11.440,1.01,345.61536,38.82921,3,11
1,2015-09-20T14:38:23.60Z,41.8928309,-89.0729071,238.487,0.33,-0.41,0.48,9.467,11.228,1.22,345.61536,38.83204,3,11
1,2015-09-20T14:38:23.80Z,41.8928299,-89.0729055,238.695,0.27,-0.36,0.33,9.319,11.037,1.25,345.61536,38.83494,3,11
1,2015-09-20T14:38:24.00Z,41.8928283,-89.0729036,238.882,0.22,-0.39,0.37,9.180,10.850,1.21,345.61536,38.83775,3,11
1,2015-09-20T14:38:24.20Z,41.8928261,-89.0729001,239.215,-0.09,-0.04,0.24,9.054,10.679,1.00,345.61536,38.84006,3,11
1,2015-09-20T14:38:24.40Z,41.8928243,-89.0728971,239.556,0.15,0.00,0.11,8.938,10.521,1.09,345.61536,38.84260,3,11
1,2015-09-20T14:38:24.60Z,41.8928238,-89.0728955,239.875,0.63,-0.42,0.00,8.832,10.366,1.43,345.61536,38.84591,3,11
1,2015-09-20T14:38:24.80Z,41.8928230,-89.0728927,240.202,0.41,0.01,0.18,8.733,10.220,1.18,345.61536,38.84864,3,11
1,2015-09-20T14:38:25.00Z,41.8928221,-89.0728906,240.551,0.26,-0.19,0.20,8.643,10.089,1.37,345.61536,38.85180,3,11
1,2015-09-20T14:38:25.20Z,41.8928209,-89.0728884,240.947,0.24,-0.20,0.11,8.553,9.962,1.41,345.61536,38.85507,3,11
1,2015-09-20T14:38:25.40Z,41.8928194,-89.0728858,241.459,0.02,-0.01,-0.55,8.472,9.844,0.96,345.61536,38.85729,3,11
1,2015-09-20T14:38:25.60Z,41.8928180,-89.0728839,242.026,0.11,-0.31,-0.74,8.397,9.746,1.22,345.61536,38.86011,3,11
1,2015-09-20T14:38:25.80Z,41.8928164,-89.0728818,242.372,-0.07,-0.14,-0.26,8.331,9.665,1.20,345.61536,38.86288,3,11
1,2015-09-20T14:38:26.00Z,41.8928135,-89.0728787,242.758,-0.89,0.25,-0.33,8.279,9.592,1.63,345.61536,38.86665,3,11
1,2015-09-20T14:38:26.20Z,41.8928117,-89.0728765,243.023,-0.29,0.17,-0.05,8.236,9.525,1.81,345.61536,38.87085,3,11
1,2015-09-20T14:38:26.40Z,41.8928100,-89.0728738,243.479,-0.28,0.22,-0.39,8.195,9.465,1.55,345.61536,38.87443,3,11
1,2015-09-20T14:38:26.60Z,41.8928065,-89.0728701,243.877,-1.12,0.65,-0.57,8.166,9.420,1.87,345.61536,38.87876,3,11
1,2015-09-20T14:38:26.80Z,41.8928024,-89.0728652,244.264,-1.54,1.22,-0.77,8.143,9.374,1.93,70.47745,35.55133,3,11
1,2015-09-20T14:38:27.00Z,41.8927991,-89.0728607,244.741,-1.21,1.05,-0.81,8.122,9.334,1.87,97.23997,44.48077,3,11
1,2015-09-20T14:38:27.20Z,41.8927962,-89.0728568,245.312,-1.06,0.80,-1.09,8.104,9.297,1.78,97.23997,44.48437,3,11
1,2015-09-20T14:38:27.40Z,41.8927935,-89.0728536,245.880,-1.00,0.50,-1.23,8.088,9.264,1.67,97.23997,44.48776,3,11
1,2015-09-20T14:38:27.60Z,41.8927904,-89.0728503,246.486,-1.09,0.47,-1.38,8.075,9.237,1.60,97.23997,44.49144,3,11
1,2015-09-20T14:38:27.80Z,41.8927896,-89.0728501,246.739,-0.42,-0.27,-0.97,8.070,9.217,1.43,97.23997,44.49433,3,11
1,2015-09-20T14:38:28.00Z,41.8927885,-89.0728501,247.053,-0.47,-0.42,-1.03,8.071,9.202,1.44,97.23997,44.49725,3,11
1,2015-09-20T14:38:28.20Z,41.8927869,-89.0728493,247.277,-0.61,-0.26,-0.83,8.084,9.197,1.60,97.23997,44.50050,3,9
1,2015-09-20T14:38:28.40Z,41.8927843,-89.0728473,247.412,-1.09,0.27,-0.74,8.091,9.193,1.89,97.23997,44.50432,3,9
1,2015-09-20T14:38:28.60Z,41.8927810,-89.0728445,247.610,-1.49,0.57,-0.75,8.101,9.193,1.98,97.23997,44.50833,3,9
1,2015-09-20T14:38:28.80Z,41.8927781,-89.0728430,247.814,-1.63,0.31,-0.82,8.110,9.195,1.89,97.23997,44.51215,3,9
1,2015-09-20T14:38:29.00Z,41.8927759,-89.0728412,247.863,-1.27,0.46,-0.56,8.118,9.196,1.96,97.23997,44.51612,3,9
1,2015-09-20T14:38:29.20Z,41.8927740,-89.0728393,247.910,-1.11,0.48,-0.41,8.127,9.199,1.99,97.23997,44.52015,3,9
1,2015-09-20T14:38:29.40Z,41.8927708,-89.0728377,248.110,-1.52,0.11,-0.48,8.134,9.204,1.88,97.23997,44.52394,3,9
1,2015-09-20T14:38:29.60Z,41.8927692,-89.0728373,248.268,-0.86,-0.14,-0.47,8.148,9.211,1.89,97.23997,44.52775,3,8
1,2015-09-20T14:38:29.80Z,41.8927680,-89.0728365,248.374,-0.48,-0.15,-0.32,8.161,9.219,1.81,97.23997,44.53142,3,8
1,2015-09-20T14:38:30.00Z,41.8927682,-89.0728361,248.425,0.03,-0.14,-0.31,8.174,9.228,1.48,97.23997,44.53441,3,8
1,2015-09-20T14:38:30.20Z,41.8927686,-89.0728351,248.447,0.26,0.01,-0.23,8.185,9.245,1.77,97.23997,44.53799,3,8
1,2015-09-20T14:38:30.40Z,41.8927690,-89.0728341,248.268,0.17,0.21,-0.05,8.196,9.263,1.61,97.23997,44.54124,3,8
1,2015-09-20T14:38:30.60Z,41.8927692,-89.0728335,247.900,-0.05,0.18,0.32,8.202,9.276,1.59,97.23997,44.54446,3,8
1,2015-09-20T14:38:30.80Z,41.8927678,-89.0728318,247.945,-0.31,0.09,0.21,8.203,9.289,1.77,97.23997,44.54804,3,8
1,2015-09-20T14:38:31.00Z,41.8927676,-89.0728302,247.655,-0.22,0.43,0.36,8.202,9.295,1.63,97.23997,44.55134,3,8
1,2015-09-20T14:38:31.20Z,41.8927683,-89.0728302,247.797,0.33,-0.36,-0.04,8.198,9.304,1.84,97.23997,44.55504,3,8
1,2015-09-20T14:38:31.40Z,41.8927694,-89.0728292,247.595,0.41,0.09,0.02,8.193,9.313,1.67,97.23997,44.55842,3,8
1,2015-09-20T14:38:31.60Z,41.8927709,-89.0728279,247.687,0.93,0.02,-0.11,8.184,9.313,1.65,97.23997,44.56176,3,8
1,2015-09-20T14:38:31.80Z,41.8927695,-89.0728245,248.268,0.23,0.27,-0.60,8.175,9.315,1.54,97.23997,44.56488,3,8
1,2015-09-20T14:38:32.00Z,41.8927674,-89.0728231,248.777,-0.57,-0.33,-0.98,8.166,9.313,1.50,97.23997,44.56790,3,8
1,2015-09-20T14:38:32.20Z,41.8927666,-89.0728221,248.981,-0.34,-0.13,-1.07,8.151,9.306,1.51,97.23997,44.57094,3,8
1,2015-09-20T14:38:32.40Z,41.8927651,-89.0728204,249.000,-0.31,0.02,-0.44,8.134,9.295,1.61,97.23997,44.57420,3,8
1,2015-09-20T14:38:32.60Z,41.8927657,-89.0728199,248.647,-0.26,0.15,-0.22,8.133,9.295,2.00,97.23997,44.57824,3,8
1,2015-09-20T14:38:32.80Z,41.8927655,-89.0728182,248.657,0.08,0.14,-0.03,8.140,9.296,1.57,97.23997,44.58141,3,8
1,2015-09-20T14:38:33.00Z,41.8927662,-89.0728166,248.393,0.17,0.29,0.25,8.150,9.291,1.40,97.23997,44.58423,3,7
1,2015-09-20T14:38:33.20Z,41.8927654,-89.0728135,248.406,-0.29,0.54,0.02,8.147,9.287,1.75,97.23997,44.58776,3,7
1,2015-09-20T14:38:33.40Z,41.8927626,-89.0728095,248.869,-0.32,0.53,-0.07,8.145,9.293,1.84,97.23997,44.59148,3,8
1,2015-09-20T14:38:33.60Z,41.8927598,-89.0728058,249.352,-0.40,0.54,-0.19,8.148,9.306,1.86,97.23997,44.59524,3,7
1,2015-09-20T14:38:33.80Z,41.8927603,-89.0728047,249.478,-0.08,0.10,-0.58,8.142,9.304,1.62,97.23997,44.59850,3,7
1,2015-09-20T14:38:34.00Z,41.8927577,-89.0728031,250.018,-0.54,-0.14,-0.87,8.139,9.307,1.66,97.23997,44.60185,3,7
1,2015-09-20T14:38:34.20Z,41.8927593,-89.0728054,249.815,0.15,-0.79,-0.67,8.129,9.302,1.51,97.23997,44.60489,3,8
1,2015-09-20T14:38:34.40Z,41.8927588,-89.0728062,250.181,0.41,-0.85,-0.68,8.126,9.307,1.63,97.23997,44.60818,3,8
1,2015-09-20T14:38:34.60Z,41.8927589,-89.0728077,250.205,0.39,-0.93,-0.30,8.118,9.311,1.69,97.23997,44.61158,3,8
1,2015-09-20T14:38:34.80Z,41.8927579,-89.0728067,250.485,0.03,-0.23,-0.51,8.103,9.306,1.51,97.23997,44.61463,3,8
1,2015-09-20T14:38:35.00Z,41.8927573,-89.0728064,250.710,-0.19,-0.21,-0.75,8.083,9.302,1.53,97.23997,44.61772,3,8
