class,time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
4,2015-09-20T17:10:39.00Z,41.877523,-89.0401573,3538.155,32.84,51.42,-11.15,51.92,65.723,2.19,57.4373,2.39989,3,5
4,2015-09-20T17:10:39.20Z,41.8776525,-89.0400194,3549.904,32.57,52.7,-9.93,46.05,59.201,2.04,58.28517,2.48162,3,5
4,2015-09-20T17:10:39.40Z,41.877755,-89.0398881,3557.783,32.97,52.31,-9.27,41.921,54.608,2.07,57.78054,2.35936,3,5
4,2015-09-20T17:10:39.60Z,41.8778429,-89.039755,3563.987,32.29,52.77,-8.59,38.662,50.984,1.98,58.53549,2.32762,3,5
4,2015-09-20T17:10:39.80Z,41.8779199,-89.0396235,3568.608,32.07,52.75,-8.04,36.124,48.161,1.94,58.69958,2.17359,3,5
4,2015-09-20T17:10:40.00Z,41.8779872,-89.0394934,3572.206,31.99,52.31,-8,34.134,45.97,2.08,58.54964,2.00818,3,5
4,2015-09-20T17:10:40.20Z,41.8780515,-89.0393658,3575.262,31.91,52.09,-8.03,32.578,44.24,2.12,58.50822,1.98414,3,5
4,2015-09-20T17:10:40.40Z,41.8781138,-89.0392392,3577.706,32.21,52.25,-7.88,31.24,42.746,2.12,58.34828,1.95907,3,5
4,2015-09-20T17:10:40.60Z,41.8781755,-89.0391124,3579.973,32.35,52.33,-7.75,30.147,41.526,2.14,58.27415,1.95909,3,5
4,2015-09-20T17:10:40.80Z,41.8782357,-89.0389862,3581.974,32.2,52.43,-7.51,29.173,40.419,2.04,58.44264,1.97432,3,5
4,2015-09-20T17:10:41.00Z,41.8782957,-89.0388592,3583.833,32.6,52.64,-7.45,28.398,39.527,2.11,58.22753,2.00536,3,5
4,2015-09-20T17:10:41.20Z,41.878358,-89.038732,3585.89,33.08,53.02,-7.57,27.689,38.699,2.13,58.03854,1.99568,3,5
4,2015-09-20T17:10:41.40Z,41.8784195,-89.0386059,3587.992,33.18,52.71,-7.82,27.038,37.935,2.15,57.8107,1.99964,3,5
4,2015-09-20T17:10:41.60Z,41.8784808,-89.0384801,3590.186,33.1,52.52,-8.12,26.461,37.251,2.11,57.78191,1.9576,3,5
4,2015-09-20T17:10:41.80Z,41.8785427,-89.0383527,3592.078,33.64,52.66,-8.03,25.954,36.644,2.14,57.42531,1.92635,3,5
4,2015-09-20T17:10:42.00Z,41.8786049,-89.0382239,3594.393,33.82,52.98,-8.51,25.472,36.062,2.07,57.4525,1.87552,3,5
4,2015-09-20T17:10:42.20Z,41.8786666,-89.0380944,3596.82,33.66,53.25,-8.99,25.044,35.528,2.05,57.70151,1.86451,3,5
4,2015-09-20T17:10:42.40Z,41.8787331,-89.0379635,3599.341,33.88,53.3,-8.45,24.219,34.347,1.97,57.56012,1.85702,3,6
4,2015-09-20T17:10:42.60Z,41.8787977,-89.037834,3601.25,34.02,52.83,-7.85,23.464,33.263,1.9,57.2228,1.82255,3,6
4,2015-09-20T17:10:42.80Z,41.8788638,-89.037704,3603.945,33.65,53.14,-8.01,22.778,32.274,1.84,57.65534,1.76098,3,6
4,2015-09-20T17:10:43.00Z,41.8789264,-89.0375746,3605.99,33.28,52.78,-7.78,22.153,31.372,1.7,57.76515,1.69759,3,6
4,2015-09-20T17:10:43.20Z,41.8789816,-89.0374452,3606.964,32.34,52.68,-7.18,21.606,30.591,1.7,58.45454,1.66466,3,6
4,2015-09-20T17:10:43.40Z,41.8790389,-89.0373167,3608.204,32.5,52.2,-6.72,21.061,29.832,1.68,58.09064,1.68706,3,6
4,2015-09-20T17:10:43.60Z,41.8790951,-89.0371886,3609.265,32.31,52.3,-6.44,20.494,29.059,1.66,58.28932,1.67616,3,6
4,2015-09-20T17:10:43.80Z,41.8791532,-89.037062,3610.571,32.14,51.7,-6.17,19.952,28.318,1.62,58.13142,1.70033,3,6
4,2015-09-20T17:10:44.00Z,41.8792094,-89.0369358,3611.534,32.13,51.47,-5.95,19.457,27.637,1.59,58.01997,2.04912,3,6
4,2015-09-20T17:10:44.20Z,41.8792662,-89.0368083,3612.864,31.92,52.28,-6.16,19.002,27.004,1.64,58.59158,2.15354,3,6
4,2015-09-20T17:10:44.40Z,41.8793232,-89.0366814,3613.856,32.11,51.88,-5.85,18.578,26.426,1.64,58.24953,2.19932,3,6
4,2015-09-20T17:10:44.60Z,41.8793847,-89.036555,3615.451,32.74,52.36,-5.91,18.23,25.933,1.76,57.98279,2.21731,3,6
4,2015-09-20T17:10:44.80Z,41.8794398,-89.0364282,3616.272,32.11,52.2,-5.98,17.891,25.454,1.71,58.40463,2.24342,3,6
4,2015-09-20T17:10:45.00Z,41.8794948,-89.0363043,3616.937,31.76,51.42,-5.77,17.534,24.971,1.66,58.29566,2.23656,3,6
4,2015-09-20T17:10:45.20Z,41.8795523,-89.03618,3617.904,32.34,51.88,-5.89,17.198,24.526,1.62,58.06535,2.14816,3,6
4,2015-09-20T17:10:45.40Z,41.8796128,-89.0360556,3619.481,33.03,52.16,-6.26,16.866,24.096,1.55,57.65613,2.08754,3,6
4,2015-09-20T17:10:45.60Z,41.8796685,-89.0359298,3620.132,32.75,52.27,-5.89,16.548,23.686,1.52,57.93315,2.10253,3,6
4,2015-09-20T17:10:45.80Z,41.87972,-89.0358021,3619.993,32.07,52.27,-5.22,16.277,23.336,1.54,58.46654,2.12226,3,6
4,2015-09-20T17:10:46.00Z,41.8797766,-89.0356764,3620.441,32.76,52.32,-5.25,16.052,23.025,1.57,57.94586,2.22761,3,6
4,2015-09-20T17:10:46.20Z,41.8798331,-89.0355498,3621.137,32.69,52.63,-5.42,15.831,22.707,1.52,58.15969,2.08809,3,6
4,2015-09-20T17:10:46.40Z,41.8798908,-89.035425,3621.418,33.53,52.03,-5.38,15.628,22.386,1.54,57.20076,2.20409,3,6
4,2015-09-20T17:10:46.60Z,41.8799494,-89.0353005,3621.718,34.03,51.78,-5.19,15.447,22.093,1.54,56.68704,2.23367,3,6
4,2015-09-20T17:10:46.80Z,41.8800047,-89.0351734,3622.036,33.28,52.45,-5.08,15.283,21.839,1.58,57.60082,2.13082,3,6
4,2015-09-20T17:10:47.00Z,41.8800586,-89.0350451,3622.302,32.64,52.87,-4.92,15.117,21.592,1.57,58.3098,2.07344,3,6
4,2015-09-20T17:10:47.20Z,41.8801163,-89.0349181,3622.858,33.09,52.84,-4.79,14.975,21.378,1.6,57.94387,2.05245,3,6
4,2015-09-20T17:10:47.40Z,41.8801695,-89.0347895,3623.446,31.71,53.12,-4.7,14.85,21.19,1.67,59.16598,2.22965,3,6
4,2015-09-20T17:10:47.60Z,41.8802231,-89.0346593,3623.893,31.52,53.91,-4.51,14.726,21.004,1.72,59.68358,2.12079,3,6
4,2015-09-20T17:10:47.80Z,41.8802753,-89.0345288,3624.158,31.19,53.89,-4.37,14.609,20.844,1.71,59.93836,2.09264,3,6
4,2015-09-20T17:10:48.00Z,41.8803283,-89.0344,3624.432,31.3,53.18,-4.41,14.523,20.712,1.79,59.51789,2.3138,3,6
4,2015-09-20T17:10:48.20Z,41.8803882,-89.0342763,3625.072,33.03,51.78,-4.63,14.437,20.592,1.84,57.46388,2.20217,3,6
4,2015-09-20T17:10:48.40Z,41.8804492,-89.034152,3626.405,33.23,52.25,-4.64,14.358,20.472,1.8,57.5435,2.16323,3,6
4,2015-09-20T17:10:48.60Z,41.8805078,-89.0340271,3627.25,32.88,52.28,-4.22,14.275,20.351,1.73,57.83178,2.27511,3,6
4,2015-09-20T17:10:48.80Z,41.8805635,-89.0339018,3627.937,32.32,51.99,-4.27,14.188,20.247,1.69,58.13212,2.15736,3,6
4,2015-09-20T17:10:49.00Z,41.880621,-89.0337773,3628.881,32.45,51.81,-4.45,14.098,20.141,1.67,57.94236,2.11718,3,6
4,2015-09-20T17:10:49.20Z,41.8806807,-89.0336532,3630.12,32.71,52.22,-4.45,14.014,20.055,1.7,57.9411,2.08918,3,6
4,2015-09-20T17:10:49.40Z,41.8807395,-89.03353,3630.658,33.09,51.5,-4.1,13.928,19.974,1.65,57.27929,2.08248,3,6
4,2015-09-20T17:10:49.60Z,41.8808009,-89.0334067,3631.534,33.68,51.89,-3.8,13.863,19.917,1.78,57.01716,2.08228,3,6
4,2015-09-20T17:10:49.80Z,41.8808622,-89.0332828,3632.38,33.89,52.07,-3.62,13.802,19.86,1.83,56.94026,2.08309,3,6
4,2015-09-20T17:10:50.00Z,41.8809237,-89.0331582,3633.618,33.99,52.33,-4.03,13.74,19.773,1.74,56.99703,2.06548,3,6
4,2015-09-20T17:10:50.20Z,41.8809866,-89.0330346,3634.794,34.59,51.94,-4.44,13.686,19.681,1.69,56.33743,2.19498,3,6
