class,time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
2,2017-08-06T09:22:35.00Z,55.1028924,38.8628099,4152.164,4.67,-13.51,17.62,48.703,91.656,6.18,289.06425,10.15349,3,5
2,2017-08-06T09:22:35.20Z,55.1029047,38.8627370,4148.740,5.05,-12.57,17.87,37.836,45.903,2.95,291.88324,8.80144,3,5
2,2017-08-06T09:22:35.40Z,55.1029194,38.8626987,4143.714,5.30,-11.49,18.11,36.114,49.914,2.66,294.76555,7.42535,3,5
2,2017-08-06T09:22:35.60Z,55.1029328,38.8626690,4138.748,6.03,-10.31,18.51,31.513,45.715,2.46,300.30241,7.91229,3,5
2,2017-08-06T09:22:35.80Z,55.1029519,38.8626418,4136.829,7.25,-8.79,15.41,28.227,42.114,2.14,309.51395,8.04496,3,5
2,2017-08-06T09:22:36.00Z,55.1029686,38.8626178,4134.638,8.17,-7.22,13.69,25.919,39.336,2.13,318.54283,8.38943,3,5
2,2017-08-06T09:22:36.20Z,55.1029837,38.8626006,4133.130,8.91,-6.07,12.44,24.249,37.118,2.11,325.75399,8.06263,3,5
2,2017-08-06T09:22:36.40Z,55.1029962,38.8625788,4129.356,8.83,-5.58,12.93,22.853,36.282,2.12,327.72916,8.05875,3,4
2,2017-08-06T09:22:36.60Z,55.1030051,38.8625535,4124.315,8.84,-5.91,13.77,21.326,35.130,2.07,326.21984,7.39963,3,4
2,2017-08-06T09:22:36.80Z,55.1030196,38.8625321,4118.024,9.38,-5.38,15.08,20.039,33.997,2.10,330.16286,6.75671,3,4
2,2017-08-06T09:22:37.00Z,55.1030367,38.8625150,4111.021,9.89,-4.78,16.86,19.099,32.931,2.08,334.22183,6.71267,3,4
2,2017-08-06T09:22:37.20Z,55.1030517,38.8625005,4104.169,9.61,-3.98,18.21,18.289,31.997,2.10,337.51771,6.68326,3,4
2,2017-08-06T09:22:37.40Z,55.1030683,38.8624913,4097.484,9.51,-2.35,19.30,17.530,31.151,2.12,346.11971,6.48729,3,4
