class,time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
3,2014-08-07T14:53:30.60Z,46.3870139,17.7370030,485.959,14.66,-1.68,8.85,0.981,1.126,0.18,3,9
3,2014-08-07T14:53:30.80Z,46.3870398,17.7369952,484.197,14.46,-2.90,8.87,0.982,1.126,0.17,3,9
3,2014-08-07T14:53:31.00Z,46.3870651,17.7369847,482.349,14.13,-3.97,9.11,0.983,1.127,0.17,3,9
3,2014-08-07T14:53:31.20Z,46.3870896,17.7369711,480.476,13.72,-5.15,9.28,0.984,1.127,0.16,3,9
3,2014-08-07T14:53:31.40Z,46.3871133,17.7369544,478.550,13.26,-6.30,9.51,0.985,1.127,0.15,3,9
3,2014-08-07T14:53:31.60Z,46.3871359,17.7369344,476.544,12.73,-7.54,9.81,0.987,1.128,0.15,3,9
3,2014-08-07T14:53:31.80Z,46.3871570,17.7369111,474.372,11.94,-8.75,10.42,0.989,1.129,0.15,3,9
3,2014-08-07T14:53:32.00Z,46.3871759,17.7368841,472.129,10.68,-10.30,10.76,0.990,1.131,0.16,3,9
3,2014-08-07T14:53:32.20Z,46.3871924,17.7368534,469.784,9.39,-11.71,11.19,0.992,1.132,0.18,3,9
3,2014-08-07T14:53:32.40Z,46.3872060,17.7368190,467.342,7.85,-13.03,11.68,0.994,1.133,0.19,3,9
3,2014-08-07T14:53:32.60Z,46.3872164,17.7367816,464.807,6.05,-14.18,12.21,0.995,1.134,0.20,3,9
3,2014-08-07T14:53:32.80Z,46.3872239,17.7367418,462.138,4.46,-15.14,12.83,0.998,1.136,0.22,3,9
3,2014-08-07T14:53:33.00Z,46.3872274,17.7367003,459.348,2.31,-15.85,13.38,1.000,1.139,0.24,3,9
3,2014-08-07T14:53:33.20Z,46.3872265,17.7366573,456.451,-0.09,-16.42,13.92,1.002,1.142,0.22,3,9
3,2014-08-07T14:53:33.40Z,46.3872230,17.7366148,453.335,-1.73,-16.39,14.72,1.003,1.144,0.26,3,9
3,2014-08-07T14:53:33.60Z,46.3872170,17.7365709,450.202,-3.20,-16.85,15.21,1.004,1.150,0.29,3,9
3,2014-08-07T14:53:33.80Z,46.3872078,17.7365259,446.888,-5.05,-17.29,15.73,1.005,1.155,0.30,3,9
3,2014-08-07T14:53:34.00Z,46.3871953,17.7364799,443.627,-6.93,-17.67,15.81,1.005,1.158,0.29,3,9
3,2014-08-07T14:53:34.20Z,46.3871798,17.7364334,440.602,-8.54,-17.94,15.43,1.005,1.156,0.28,3,9
3,2014-08-07T14:53:34.40Z,46.3871620,17.7363860,437.819,-9.82,-18.28,14.75,1.006,1.155,0.28,3,9
3,2014-08-07T14:53:34.60Z,46.3871438,17.7363367,435.223,-10.14,-19.05,13.92,1.006,1.155,0.28,3,9
3,2014-08-07T14:53:34.80Z,46.3871251,17.7362865,432.919,-10.58,-19.40,12.74,1.006,1.154,0.28,3,9
3,2014-08-07T14:53:35.00Z,46.3871067,17.7362344,430.573,-10.30,-20.09,12.27,1.008,1.155,0.32,3,9
3,2014-08-07T14:53:35.20Z,46.3870897,17.7361810,428.301,-9.66,-20.66,11.80,1.007,1.154,0.28,3,9
3,2014-08-07T14:53:35.40Z,46.3870742,17.7361276,426.243,-8.83,-20.74,10.92,1.008,1.156,0.26,3,9
3,2014-08-07T14:53:35.60Z,46.3870614,17.7360728,424.612,-7.43,-21.12,9.61,1.007,1.155,0.25,3,9
3,2014-08-07T14:53:35.80Z,46.3870493,17.7360165,423.028,-6.90,-21.71,8.79,1.013,1.155,0.33,3,9
3,2014-08-07T14:53:36.00Z,46.3870419,17.7359616,421.814,-4.96,-21.48,7.51,1.013,1.154,0.24,3,9
3,2014-08-07T14:53:36.20Z,46.3870362,17.7359077,420.797,-3.76,-21.03,6.32,1.013,1.153,0.22,3,9
3,2014-08-07T14:53:36.40Z,46.3870322,17.7358538,419.797,-2.58,-20.92,5.68,1.013,1.154,0.23,3,9
3,2014-08-07T14:53:36.60Z,46.3870286,17.7358008,418.908,-2.22,-20.58,5.08,1.013,1.155,0.23,3,9
3,2014-08-07T14:53:36.80Z,46.3870258,17.7357496,418.160,-1.81,-19.90,4.45,1.012,1.155,0.20,3,9
3,2014-08-07T14:53:37.00Z,46.3870236,17.7356996,417.534,-1.42,-19.47,3.82,1.011,1.153,0.19,3,9
3,2014-08-07T14:53:37.20Z,46.3870220,17.7356503,417.001,-1.10,-19.08,3.28,1.009,1.152,0.18,3,9
3,2014-08-07T14:53:37.40Z,46.3870208,17.7356025,416.537,-0.84,-18.50,2.79,1.008,1.150,0.17,3,9
3,2014-08-07T14:53:37.60Z,46.3870196,17.7355565,416.161,-0.82,-17.83,2.31,1.007,1.149,0.17,3,9
3,2014-08-07T14:53:37.80Z,46.3870187,17.7355118,415.851,-0.64,-17.31,1.90,1.005,1.146,0.15,3,9
3,2014-08-07T14:53:38.00Z,46.3870179,17.7354686,415.564,-0.49,-16.63,1.62,1.003,1.144,0.15,3,9
3,2014-08-07T14:53:38.20Z,46.3870172,17.7354269,415.312,-0.48,-16.13,1.46,1.002,1.142,0.15,3,9
3,2014-08-07T14:53:38.40Z,46.3870164,17.7353863,415.007,-0.52,-15.65,1.49,1.000,1.139,0.15,3,9
3,2014-08-07T14:53:38.60Z,46.3870156,17.7353470,414.719,-0.52,-15.14,1.47,0.998,1.137,0.15,3,9
3,2014-08-07T14:53:38.80Z,46.3870148,17.7353083,414.368,-0.44,-14.87,1.69,0.996,1.135,0.15,3,9
3,2014-08-07T14:53:39.00Z,46.3870139,17.7352709,413.986,-0.52,-14.41,1.85,0.994,1.133,0.15,3,9
3,2014-08-07T14:53:39.20Z,46.3870130,17.7352338,413.495,-0.47,-14.24,2.22,0.992,1.131,0.15,3,9
3,2014-08-07T14:53:39.40Z,46.3870120,17.7351978,412.977,-0.53,-13.89,2.43,0.990,1.129,0.15,3,9
3,2014-08-07T14:53:39.60Z,46.3870110,17.7351624,412.377,-0.51,-13.58,2.73,0.988,1.127,0.15,3,9
3,2014-08-07T14:53:39.80Z,46.3870101,17.7351278,411.712,-0.48,-13.31,3.12,0.986,1.124,0.16,3,9
3,2014-08-07T14:53:40.00Z,46.3870091,17.7350934,410.956,-0.46,-13.20,3.54,0.985,1.123,0.16,3,9
3,2014-08-07T14:53:40.20Z,46.3870083,17.7350592,410.125,-0.38,-13.09,3.91,0.983,1.121,0.16,3,9
3,2014-08-07T14:53:40.40Z,46.3870077,17.7350253,409.203,-0.23,-13.01,4.33,0.981,1.119,0.16,3,9
3,2014-08-07T14:53:40.60Z,46.3870069,17.7349911,408.172,-0.35,-13.11,4.77,0.979,1.118,0.17,3,9
3,2014-08-07T14:53:40.80Z,46.3870067,17.7349572,407.006,-0.12,-13.02,5.44,0.978,1.117,0.17,3,9
3,2014-08-07T14:53:41.00Z,46.3870067,17.7349229,405.661,-0.02,-13.24,6.29,0.976,1.117,0.17,3,9
3,2014-08-07T14:53:41.20Z,46.3870059,17.7348882,404.069,-0.39,-13.33,7.32,0.975,1.116,0.19,3,9
3,2014-08-07T14:53:41.40Z,46.3870056,17.7348537,402.178,-0.11,-13.24,8.59,0.973,1.114,0.19,3,9
3,2014-08-07T14:53:41.60Z,46.3870052,17.7348187,400.169,-0.13,-13.36,9.35,0.972,1.114,0.20,3,9
3,2014-08-07T14:53:41.80Z,46.3870053,17.7347832,398.012,0.07,-13.58,10.14,0.971,1.113,0.20,3,9
3,2014-08-07T14:53:42.00Z,46.3870052,17.7347470,395.689,-0.03,-13.82,10.96,0.969,1.112,0.19,3,9
3,2014-08-07T14:53:42.20Z,46.3870051,17.7347108,393.277,-0.05,-13.86,11.55,0.968,1.112,0.20,3,9
3,2014-08-07T14:53:42.40Z,46.3870046,17.7346731,390.672,-0.21,-14.42,12.45,0.966,1.111,0.20,3,9
3,2014-08-07T14:53:42.60Z,46.3870039,17.7346340,387.882,-0.32,-14.93,13.31,0.965,1.110,0.20,3,9
3,2014-08-07T14:53:42.80Z,46.3870034,17.7345941,384.997,-0.18,-15.26,13.91,0.963,1.109,0.20,3,9
3,2014-08-07T14:53:43.00Z,46.3870024,17.7345528,381.984,-0.48,-15.81,14.53,0.962,1.108,0.20,3,9
3,2014-08-07T14:53:43.20Z,46.3870016,17.7345105,378.919,-0.38,-16.22,14.97,0.960,1.107,0.20,3,9
3,2014-08-07T14:53:43.40Z,46.3870002,17.7344674,375.780,-0.77,-16.56,15.35,0.959,1.106,0.20,3,9
3,2014-08-07T14:53:43.60Z,46.3869988,17.7344218,372.591,-0.75,-17.51,15.66,0.957,1.104,0.19,3,9
3,2014-08-07T14:53:43.80Z,46.3869981,17.7343752,369.320,-0.35,-17.93,16.08,0.955,1.103,0.19,3,9
3,2014-08-07T14:53:44.00Z,46.3869967,17.7343278,366.113,-0.82,-18.24,16.02,0.954,1.104,0.24,3,9
3,2014-08-07T14:53:44.20Z,46.3869945,17.7342779,362.812,-1.17,-19.20,16.29,0.954,1.105,0.23,3,9
3,2014-08-07T14:53:44.40Z,46.3869909,17.7342277,359.559,-2.01,-19.34,16.24,0.953,1.106,0.24,3,9
3,2014-08-07T14:53:44.60Z,46.3869867,17.7341758,356.281,-2.34,-19.98,16.31,0.953,1.106,0.23,3,9
