class,time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
1,2017-06-17T06:23:17.50Z,54.7876682,37.6442119,232.551,0.11,-1.68,0.13,84.596,179.339,2.65,0.00000,130.43816,3,4
1,2017-06-17T06:23:17.80Z,54.7876475,37.6441959,233.627,0.17,-1.35,0.01,38.584,54.059,0.99,0.00000,130.43956,3,5
1,2017-06-17T06:23:18.00Z,54.7876372,37.6441602,240.192,0.27,-0.87,0.24,28.369,44.841,0.76,0.00000,130.44022,3,9
1,2017-06-17T06:23:18.20Z,54.7876426,37.6441436,241.436,0.19,-1.42,0.76,19.267,30.434,0.78,284.34377,39.01079,3,10
1,2017-06-17T06:23:18.40Z,54.7876100,37.6441559,234.269,-0.33,-1.45,0.24,14.399,22.399,0.51,267.61206,30.75506,3,9
1,2017-06-17T06:23:18.60Z,54.7876137,37.6441674,234.790,0.15,-1.39,0.55,11.872,18.834,0.43,272.66061,26.03769,3,9
1,2017-06-17T06:23:18.80Z,54.7876072,37.6441792,235.586,-0.03,-1.37,0.27,9.534,14.323,0.31,270.57360,24.60184,3,9
1,2017-06-17T06:23:19.00Z,54.7875985,37.6441716,234.725,-0.44,-1.13,0.58,8.236,11.902,0.45,259.19175,23.72492,3,10
1,2017-06-17T06:23:19.20Z,54.7875947,37.6441711,234.462,0.10,-0.99,1.07,7.379,10.218,0.44,265.27127,31.07695,3,10
1,2017-06-17T06:23:19.40Z,54.7875969,37.6441617,235.494,-0.04,-1.28,0.03,6.125,8.593,0.20,267.29317,18.70581,3,10
1,2017-06-17T06:23:19.60Z,54.7875940,37.6441492,236.088,-0.30,-1.12,0.68,5.615,8.057,0.42,261.24717,19.32915,3,10
1,2017-06-17T06:23:19.80Z,54.7875942,37.6441445,236.137,0.35,-1.02,0.43,5.278,7.545,0.27,273.03342,22.47566,3,9
1,2017-06-17T06:23:20.00Z,54.7875901,37.6441411,235.778,-0.36,-1.09,0.72,4.980,7.136,0.42,260.83512,19.38510,3,10
1,2017-06-17T06:23:20.20Z,54.7875936,37.6441378,235.278,-0.25,-0.75,0.55,4.609,6.643,0.39,257.39735,25.12042,3,10
1,2017-06-17T06:23:20.40Z,54.7875924,37.6441342,235.866,-0.07,-1.18,0.23,4.399,6.313,0.27,263.34592,18.88437,3,10
1,2017-06-17T06:23:20.60Z,54.7875959,37.6441273,236.767,-0.22,-0.53,0.08,4.178,5.994,0.35,259.80870,35.31075,3,10
1,2017-06-17T06:23:20.80Z,54.7875916,37.6441307,235.975,-0.01,-0.13,0.81,4.009,5.761,0.67,259.80870,35.31283,3,10
1,2017-06-17T06:23:21.00Z,54.7875910,37.6441340,235.743,0.12,-0.23,-0.16,3.703,5.297,0.45,259.80870,35.31398,3,9
1,2017-06-17T06:23:21.20Z,54.7875927,37.6441344,236.194,-0.45,-0.34,0.36,3.426,4.880,0.53,238.44289,34.89498,3,10
1,2017-06-17T06:23:21.40Z,54.7875876,37.6441345,235.557,-1.54,-0.75,0.96,3.278,4.724,0.67,210.01436,13.39400,3,10
1,2017-06-17T06:23:21.60Z,54.7875864,37.6441312,236.101,-0.46,-1.33,-0.47,3.105,4.470,0.36,221.38340,21.61682,3,10
1,2017-06-17T06:23:21.80Z,54.7875866,37.6441269,236.445,1.04,-1.40,-0.78,3.019,4.400,0.58,272.80155,17.50346,3,10
1,2017-06-17T06:23:22.00Z,54.7875902,37.6441251,237.222,0.25,-0.57,-0.80,2.954,4.254,0.69,272.80155,17.50868,3,10
1,2017-06-17T06:23:22.20Z,54.7875910,37.6441223,237.425,-0.23,-1.38,-0.47,2.871,4.184,0.33,268.27606,22.97731,3,10
1,2017-06-17T06:23:22.40Z,54.7875909,37.6441176,237.610,0.88,-1.45,-0.42,2.797,4.114,0.46,290.15619,16.33557,3,10
